Ticker;Empresa;Sector;Industria;País;Moneda;Precio actual;Cap. Mercado;Beta;P/E (trailing);P/E (forward);P/B;P/S;EV/EBITDA;PEG Ratio;Valor Graham;Upside vs Graham (%);ROE (%);ROA (%);Margen Bruto (%);Margen Operativo (%);Margen Neto (%);Margen EBITDA (%);Deuda/Equity;Current Ratio;Quick Ratio;Crec. Ingresos YoY (%);Crec. Ganancias YoY (%);Div. Yield (%);Payout Ratio (%);Máximo 52s;Mínimo 52s;Dist. Máx 52s (%);Dist. Mín 52s (%);Score Cuantitativo
TRAN.BA;Transener;Utilities;Utilities - Regulated Electric;Argentina;ARS;3880,0;1725334290432,0;0,633;8,877296;7,510661;1,9957072;3,0102947;4,641;;4372,54;12,69;23,15;15,0;55,24;53,52;33,92;56,61;0,121;1,298;1,214;38,5;105,5;825,0;69,02;4410,0;1441,0;-12,02;169,26;86,9
CYRE3.SA;Cyrela;Consumer Cyclical;Residential Construction;Brazil;BRL;23,23;8510237184,0;0,302;5,083151;4,0433965;0,83202004;0,90102977;9,229;0,21;53,58;130,65;22,37;3,88;32,87;17,4;21,25;16,31;70,56;3,843;2,215;24,2;16,4;1570,0;83,13;39,06;23,22;-40,53;0,04;75,8
NVDA;NVIDIA;Technology;Semiconductors;United States;USD;209,355;5088373374976,0;2,335;42,72551;18,627249;32,347805;23,564047;38,496;0,74;26,71;-87,24;101,48;51,19;71,07;65,02;55,6;61,7;7,255;3,905;3,141;73,2;95,6;2,0;0,82;216,83;104,08;-3,45;101,15;74,1
CRES.BA;Cresud;Industrials;Conglomerates;Argentina;ARS;1694,0;1198616608768,0;0,103;5,7233596;946,3687;0,9930982;1,1767248;19,114;;3370,41;98,96;20,96;2,3;41,43;24,26;19,21;20,19;78,531;1,426;1,062;20,3;182,3;610,0;35,1;2210,0;1217,0;-23,35;39,19;69,8
META;Meta Platforms;Communication Services;Internet Content & Information;United States;USD;673,4115;1709403406336,0;1,309;28,65581;18,67475;7,842495;8,505934;16,701;1,1;213,08;-68,36;30,24;16,21;82,0;41,31;30,08;50,7;39,164;2,599;2,423;23,8;10,7;31,0;8,94;796,25;520,26;-15,43;29,44;66,1
IRSA.BA;IRSA;Real Estate;Real Estate Services;Argentina;ARS;2130,0;1726740299776,0;0,214;3,5865831;308,69565;0,87584543;3,5372498;11,618;0,34;5700,55;167,63;31,18;3,87;61,63;54,97;98,94;43,61;50,658;1,49;1,339;-2,4;-27,6;1029,0;37,86;2870,0;1580,0;-25,78;34,81;65,7
GOOGL;Alphabet (Google);Communication Services;Internet Content & Information;United States;USD;351,36;4250557743104,0;1,128;32,503235;25,972605;10,227927;10,551583;27,777;2,39;91,41;-73,98;35,71;15,43;59,65;31,57;32,81;37,28;16,133;2,005;1,847;18,0;31,1;24,0;7,68;355,79;147,84;-1,25;137,66;63,0
MSFT;Microsoft;Technology;Software - Infrastructure;United States;USD;425,005;3158797713408,0;1,107;26,61271;22,45662;8,07764;10,341354;18,38;1,34;137,5;-67,65;34,39;14,86;68,59;47,09;39,04;57,38;31,539;1,386;1,239;16,7;59,8;85,0;21,28;555,45;356,28;-23,48;19,29;62,8
BYMA.BA;BYMA;Financial Services;Capital Markets;Argentina;ARS;303,5;2311488798720,0;0,278;10,724381;5,70918;3,5344534;9,001998;5,293;;233,83;-22,96;25,2;4,34;75,2;64,57;67,15;67,37;;1,18;0,786;36,0;365,6;923,0;98,32;351,75;142,0;-13,72;113,73;62,1
CEPU.BA;Central Puerto;Utilities;Utilities - Regulated Electric;Argentina;ARS;2137,0;3205205852160,0;-0,014;9,2643175;6,12128;1,2562939;2,920668;7,673;;2971,28;39,04;13,93;5,22;35,88;22,39;31,56;42,12;18,846;1,773;1,636;11,3;;;0,0;2820,0;1154,0;-24,22;85,18;60,9
PETR4.SA;Petrobras PN;Energy;Oil & Gas Integrated;Brazil;BRL;49,12;671150440448,0;-0,071;6,4631577;4,373219;1,5226287;1,3489133;4,553;0,33;74,27;51,2;28,18;8,61;47,63;26,85;22,13;41,83;91,963;0,706;0,44;5,0;;828,0;38,87;50,69;28,86;-3,1;70,2;60,8
VIST.BA;Vista Energy;Energy;Oil & Gas E&P;Mexico;ARS;37100,0;3869569187840,0;-0,453;463,26935;;1,1369877;1563,9697;1823,351;;7667,8;-79,33;34,8;14,53;77,29;29,75;29,06;84,82;131,31;0,864;0,847;52,6;-13,8;;;37600,0;36740,0;-1,33;0,98;58,6
GE;GE Aerospace;Industrials;Aerospace & Defense;United States;USD;281,275;293931483136,0;1,428;34,99005;32,434353;15,796508;6,082927;28,333;6,85;56,76;-79,82;45,43;4,85;31,15;20,21;17,86;22,84;116,527;1,008;0,65;24,7;-1,8;65,0;19,25;348,48;196,86;-19,29;42,88;56,0
PAMP.BA;Pampa Energía;Industrials;Conglomerates;Argentina;ARS;4892,5;6651873067008,0;-0,115;12,330822;8,197339;1,3063937;3329,2659;9607,875;0,59;5782,15;18,18;10,96;2,91;31,31;4,47;18,87;34,97;53,481;3,111;2,418;16,6;51,9;;0,0;5750,0;3205,0;-14,91;52,65;56,0
V;Visa;Financial Services;Credit Services;United States;USD;336,47;648727494656,0;0,799;29,309235;22,97514;16,794949;15,673153;20,524;;71,94;-78,62;53,95;18,36;97,78;68,3;50,23;70,03;54,612;1,111;0,725;14,6;17,4;87,0;21,97;375,51;293,89;-10,4;14,49;55,9
PG;Procter & Gamble;Consumer Defensive;Household & Personal Products;United States;USD;146,12;340254883840,0;0,403;21,331387;20,542408;6,330748;3,9237392;14,897;4,07;59,64;-59,18;31,11;10,93;50,98;23,05;19,16;28,88;67,651;0,732;0,487;7,4;5,8;286,0;61,8;170,99;137,62;-14,54;6,18;54,9
LLY;Eli Lilly;Healthcare;Drug Manufacturers - General;United States;USD;853,63;762596687872,0;0,504;37,130493;20,279036;28,785364;11,700036;25,793;1,3;123,85;-85,49;101,16;19,42;83,04;44,9;31,67;48,62;165,31;1,579;0,777;42,6;51,4;71,0;26,14;1133,95;623,78;-24,72;36,85;54,3
LREN3.SA;Lojas Renner;Consumer Cyclical;Department Stores;Brazil;BRL;13,61;13287760896,0;0,469;9,451388;7,8091826;1,2784144;0,83943236;6,264;0,89;18,57;36,44;13,73;5,95;61,71;16,25;9,21;14,87;27,595;1,694;1,408;4,8;21,5;636,0;58,4;19,87;12,43;-31,5;9,49;54,1
EDN.BA;Edenor;Utilities;Utilities - Regulated Electric;Argentina;ARS;1885,0;1650661130240,0;0,272;6,8944077;794,0185;0,74256885;0,5518961;3,573;8,71;3951,72;109,64;11,38;1,7;22,75;5,25;8,0;11,79;53,656;1,07;0,9;5,6;858,4;;0,0;2767,5;1137,0;-31,89;65,79;51,7
ABEV3.SA;Ambev;Consumer Defensive;Beverages - Brewers;Brazil;BRL;14,39;224436436992,0;0,31;14,535354;12,743649;2,5559502;2,543406;7,775;2,02;11,2;-22,17;16,98;9,14;51,42;28,19;17,57;30,84;3,815;0,962;0,664;-8,2;-10,1;1637,0;173,88;16,77;11,68;-14,19;23,2;51,6
TXAR.BA;Ternium Argentina;Basic Materials;Steel;Argentina;ARS;675,0;3049038282752,0;-0,313;36,48649;10,289635;0,44754833;1,2123581;11,877;;792,34;17,38;1,4;0,62;14,18;6,24;3,32;6,81;1,053;3,873;2,233;33,6;395,9;396,0;0,0;950,0;450,0;-28,95;50,0;51,0
AAPL;Apple;Technology;Consumer Electronics;United States;USD;270,345;3968972881920,0;1,109;34,220886;28,864016;45,072525;9,111153;26,147;2,44;32,65;-87,92;152,02;24,38;47,33;35,37;27,04;35,1;102,63;0,974;0,845;15,7;18,3;38,0;13,04;288,62;193,25;-6,33;39,89;50,3
JNJ;Johnson & Johnson;Healthcare;Drug Manufacturers - General;United States;USD;227,179;546869116928,0;0,329;26,324333;17,873419;6,708371;5,6751533;16,934;2,96;81,09;-64,31;26,42;8,42;68,04;27,41;21,83;35,62;67,73;1,025;0,689;9,9;-52,9;235,0;60,25;251,71;146,12;-9,75;55,47;49,9
AMZN;Amazon;Consumer Cyclical;Internet Retail;United States;USD;263,52;2834282840064,0;1,383;36,75732;27,878592;6,880123;3,952944;19,511;1,91;78,61;-70,17;22,29;6,93;50,29;10,53;10,83;20,33;43,435;1,051;0,844;13,6;5,0;;0,0;265,91;178,85;-0,9;47,34;49,5
KO;Coca-Cola;Consumer Defensive;Beverages - Non-Alcoholic;United States;USD;78,8;338932760576,0;;24,77673;22,824451;10,080604;6,8780084;22,016;;23,65;-69,99;43,37;9,55;61,74;34,95;27,8;34,04;122,824;1,358;0,782;12,1;18,2;263,0;64,78;82,0;65,35;-3,9;20,58;49,1
WEGE3.SA;WEG;Industrials;Electrical Equipment & Parts;Brazil;BRL;44,36;186127007744,0;0,047;29,184212;22,784004;10,686582;4,5614767;22,551;;11,91;-73,15;32,51;11,85;33,53;19,4;15,63;21,49;29,31;1,548;0,926;-5,3;-6,3;85,0;118,88;54,53;35,25;-18,65;25,84;47,0
SUZB3.SA;Suzano;Basic Materials;Paper & Paper Products;Brazil;BRL;44,87;55451308032,0;0,277;4,146026;5,54749;1,2654799;1,1067128;6,331;;92,9;107,04;35,19;3,78;32,38;16,85;26,75;41,89;231,459;3,185;2,412;-7,5;;247,0;10,32;59,65;44,68;-24,78;0,43;46,5
VALO.BA;Grupo Supervielle VALO;Financial Services;Banks - Diversified;Argentina;ARS;641,0;735219220480,0;-0,092;12,277342;;2,0239398;3,251757;;;609,96;-4,84;18,39;2,87;0,0;33,79;24,78;0,0;;;;17,4;60,9;96,0;5,58;750,0;231,0;-14,53;177,49;44,6
TGSU2.BA;Transportadora Gas del Sur;Energy;Oil & Gas Integrated;Argentina;ARS;9145,0;6884000006144,0;-0,327;16,366598;10,637482;2,2008636;4,0008693;7,183;;7227,68;-20,97;13,88;9,54;54,86;53,99;24,46;54,96;54,529;5,002;4,535;4,1;-24,8;290,0;47,52;10700,0;5900,0;-14,53;55,0;44,5
ALUA.BA;Aluar;Basic Materials;Aluminum;Argentina;ARS;980,5;2745400033280,0;-0,088;3381,0347;37,857143;1,5447781;1,567224;14,748;;64,35;-93,44;1,04;3,3;17,7;14,98;0,06;13,78;53,802;2,244;0,668;28,8;;30,0;870,59;1170,0;582,0;-16,2;68,47;43,1
ITUB4.SA;Itaú Unibanco;Financial Services;Banks - Regional;Brazil;BRL;42,91;472926519296,0;0,267;10,7007475;8,239659;2,3137064;3,4036467;;1,4;40,91;-4,66;21,01;1,55;0,0;37,3;32,28;0,0;;;;11,0;2,8;124,0;85,03;49,67;33,15534;-13,61;29,42;42,8
CAT;Caterpillar;Industrials;Farm & Heavy Construction Machinery;United States;USD;813,52;378460078080,0;1,519;43,242428;29,069826;17,753017;5,600328;29,745;2,23;139,25;-82,88;43,53;7,89;28,79;16,02;13,14;20,66;206,67;1,436;0,871;18,0;-11,4;74,0;31,05;845,27;302,18;-3,76;169,22;40,0
TSLA;Tesla;Consumer Cyclical;Auto Manufacturers;United States;USD;374,59;1406856593408,0;1,915;343,66052;147,74628;17,10691;14,373426;124,758;5,14;23,17;-93,81;4,9;2,23;19,06;4,2;3,95;11,33;18,738;2,043;1,43;15,8;8,3;;0,0;498,83;270,78;-24,91;38,34;39,9
WMT;Walmart;Consumer Defensive;Discount Stores;United States;USD;127,7444;1018249412608,0;0,661;46,79282;38,91846;10,218734;1,4277934;24,563;4,87;27,71;-78,31;21,85;6,83;24,93;4,57;3,07;6,17;64,443;0,79;0,204;5,6;-19,0;78,0;34,43;134,69;91,89;-5,16;39,02;39,8
TECO2.BA;Telecom Argentina;Communication Services;Telecom Services;Argentina;ARS;3710,0;7990182674432,0;0,366;;-53,53535;1,1640943;0,9593422;5,453;0,35;;;-2,04;2,2;75,42;7,0;-2,04;27,23;83,423;0,478;0,431;60,6;25,3;41,0;0,0;4177,5;2000,0;-11,19;85,5;37,9
XOM;ExxonMobil;Energy;Oil & Gas Integrated;United States;USD;154,089;640480116736,0;0,288;22,99836;15,154457;2,4825437;1,9773703;11,356;1,37;96,73;-37,22;11,08;4,9;31,05;9,53;8,9;18,33;18,936;1,153;0,764;-1,3;-11,0;274,0;59,7;176,41;101,19;-12,65;52,28;37,7
JPM;JPMorgan Chase;Financial Services;Banks - Diversified;United States;USD;309,0;827965505536,0;1,043;14,784689;13,142991;2,4069169;4,770513;;1,66;245,7;-20,49;16,47;1,27;0,0;43,05;33,94;0,0;;;;12,7;17,2;193,0;28,24;337,25;238,43;-8,38;29,6;37,0
RDOR3.SA;Rede D'Or;Healthcare;Medical Care Facilities;Brazil;BRL;37,69;83012812800,0;0,817;17,694834;13,195623;4,2971153;1,4896643;8,611;;20,5;-45,61;20,05;5,98;21,85;17,81;8,41;20,55;240,987;2,79;2,681;11,9;23,8;166,0;157,23;48,41;31,31;-22,14;20,38;36,9
BA;Boeing;Industrials;Aerospace & Defense;United States;USD;222,43;175342075904,0;1,128;87,57086;50,782288;29,301804;1,9020879;-64,842;4,61;20,83;-90,64;169,95;-2,07;4,82;1,71;2,46;-3,54;828,696;1,176;0,317;14,0;;;0,0;254,35;176,77;-12,55;25,83;36,7
BPAC11.SA;BTG Pactual;Financial Services;Capital Markets;Brazil;BRL;58,38;196714921984,0;0,471;95,08143;9,846103;4,015407;4,7076864;;;14,17;-75,73;23,87;2,31;0,0;44,47;38,16;0,0;;;;18,7;40,9;232,0;;65,5;37,18;-10,87;57,02;35,5
GS;Goldman Sachs;Financial Services;Capital Markets;United States;USD;906,28;268941246464,0;1,311;16,550037;13,866937;2,519082;4,370683;;1,43;665,78;-26,54;14,59;0,94;82,27;38,35;29,36;0,0;608,943;2,605;2,042;14,5;24,3;194,0;28,31;984,7;531,45;-7,96;70,53;35,4
EGIE3.SA;Engie Brasil;Utilities;Utilities - Renewable;Brazil;BRL;34,78;39731675136,0;0,324;15,38938;12,496271;3,114255;3,089537;9,797;1,38;23,83;-31,48;21,82;6,56;46,71;38,51;20,08;53,7;214,196;1,122;0,986;4,5;-42,2;521,0;59,4;39,36;27,507141;-11,64;26,44;34,1
BBDC4.SA;Bradesco;Financial Services;Banks - Regional;Brazil;BRL;19,1;201900605440,0;0,363;8,967135;6,300387;1,1323216;2,2617729;;2,03;28,43;48,85;13,75;1,09;0,0;24,81;26,52;0,0;;;;6,0;57,2;116,0;67,43;22,12;12,95;-13,65;47,49;34,0
BAC;Bank of America;Financial Services;Banks - Diversified;United States;USD;52,85;376815648768,0;1,237;13,146766;10,4864435;1,3669045;3,4384127;;0,94;59,14;11,9;10,64;0,93;0,0;35,96;28,96;0,0;;;;11,8;23,3;213,0;27,36;57,55;38,82;-8,17;36,14;32,7
UNH;UnitedHealth;Healthcare;Healthcare Plans;United States;USD;368,785;334935392256,0;0,408;27,853853;17,769629;3,550311;0,74477583;17,791;1,24;175,91;-52,3;12,18;3,78;18,8;8,05;2,68;4,77;73,982;0,798;0,507;2,0;0,7;241,0;65,99;413,26;234,6;-10,76;57,2;29,4
CVX;Chevron;Energy;Oil & Gas Integrated;United States;USD;191,74;381926670336,0;0,587;28,920061;16,343153;2,0364294;2,0683367;11,215;1,14;118,51;-38,19;7,23;3,79;41,9;9,46;6,66;20,38;24,323;1,155;0,724;-8,2;-23,8;378,0;103,17;214,71;133,77;-10,7;43,34;28,9
BBAS3.SA;Banco do Brasil;Financial Services;Banks - Regional;Brazil;BRL;21,86;124785147904,0;0,406;9,108334;4,206459;0,67890304;1,6893817;;0,3;41,7;90,76;11,06;0,86;0,0;18,38;24,11;0,0;;;;-34,3;-54,4;124,0;20,71;30,04;18,12;-27,23;20,64;26,6
HAPV3.SA;Hapvida;Financial Services;Insurance - Life;Brazil;BRL;11,66;5539201024,0;0,098;;5,360747;0,114724256;0,17541751;5,057;;;;-0,29;1,35;11,79;3,82;-0,45;8,49;32,55;1,899;1,718;6,5;;;0,0;44,85;7,0;-74,0;66,57;26,1
VALE3.SA;Vale;Basic Materials;Other Industrial Metals & Mining;Brazil;BRL;79,72;347987050496,0;0,889;28,989092;7,227079;1,8464817;1,629191;5,713;;51,69;-35,16;5,87;7,79;34,98;27,64;6,47;35,99;61,326;1,153;0,716;0,5;;817,0;208,55;91,62;49,72;-12,99;60,34;23,5
LOMA.BA;Loma Negra;Basic Materials;Building Materials;Argentina;ARS;3255,0;1899237605376,0;0,691;80,60921;0,49378034;1,7796143;2,2394383;13,21;;1289,1;-60,4;2,16;2,89;21,79;10,25;2,78;19,93;28,274;1,437;0,459;-3,2;-82,2;;0,0;4130,0;2122,0;-21,19;53,39;23,3
RENT3.SA;Localiza;Industrials;Rental & Leasing Services;Brazil;BRL;45,53;48015130624,0;0,34;25,869318;9,152255;1,9524851;1,1491935;10,627;0,58;30,39;-33,25;7,21;5,75;21,95;21,75;4,49;19,49;177,47;1,199;0,953;11,7;10,9;441,0;113,41;53,35;32,7;-14,66;39,24;22,0
MGLU3.SA;Magazine Luiza;Consumer Cyclical;Specialty Retail;Brazil;BRL;8,14;6307526144,0;1,12;31,307695;9,127914;0,55906594;0,16297092;8,723;0,26;9,23;13,39;1,81;1,98;29,85;0,98;0,53;3,88;75,62;1,155;0,705;3,4;-55,5;30,0;110,09;11,55238;6,209523;-29,54;31,09;19,9
EQTL3.SA;Equatorial;Utilities;Utilities - Regulated Electric;Brazil;BRL;41,66;52418220032,0;0,08;43,395836;17,99568;2,0353723;1,006614;8,725;3,0;21,03;-49,52;6,98;4,89;22,14;8,66;3,22;22,26;194,885;1,494;1,456;14,3;;556,0;247,28;46,32;33,16;-10,06;25,63;18,4
HARG.BA;Holcim Argentina;Basic Materials;Building Materials;Argentina;ARS;1795,0;656970022912,0;0,251;;67,88956;1,1311933;1,3158691;27,822;;;;-6,69;-1,52;25,81;-10,03;-8,05;5,24;10,466;0,577;0,203;-5,4;;;0,0;2850,0;935,0;-37,02;91,98;18,1
COME.BA;Soc. Comercial del Plata;Industrials;Conglomerates;Argentina;ARS;46,48;325359992832,0;-0,027;;11,649122;0,6022754;0,49601045;21,428;;;;-9,91;-0,78;9,95;-0,71;-8,87;2,25;7,001;1,637;1,0;1,5;;134,0;0,0;85,0;29,1;-45,32;59,73;17,1
MIRG.BA;Mirgor;Technology;Consumer Electronics;Argentina;ARS;19050,0;3427484827648,0;;275,96698;;9,512576;1,2563155;;;1763,63;-90,74;3,54;6,46;21,48;-0,69;0,46;7,35;151,515;0,947;0,371;6,4;;20,0;55,65;28250,0;14600,0;-32,57;30,48;14,3
MCD;McDonald's;Consumer Cyclical;Restaurants;United States;USD;289,675;205908983808,0;0,532;24,220316;20,173857;-114,996025;7,65888;17,937;2,69;;;;13,51;57,41;45,07;31,85;54,28;;0,955;0,743;9,7;8,2;254,0;60,0;341,75;283,47;-15,24;2,19;12,9
BMA.BA;Banco Macro;Financial Services;Banks - Regional;Argentina;ARS;10900,0;6969354092544,0;0,661;24,086802;7,2461066;1,3320562;1,7149476;;;9127,82;-16,26;5,5;1,37;0,0;23,04;7,12;0,0;;;;-3,1;-26,6;690,0;87,03;16240,0;5895,0;-32,88;84,9;9,5
GGAL.BA;Grupo Financiero Galicia;Financial Services;Banks - Regional;Argentina;ARS;6360,0;10215773700096,0;0,562;48,05077;5,9917707;1,3153569;1,6088604;;0,02;3794,69;-40,34;2,49;0,44;0,0;-3,54;3,09;0,0;;;;-10,0;;479,0;159,75;9395,0;3990,0;-32,3;59,4;2,1
MOLI.BA;Molinos Río de la Plata;Consumer Defensive;Packaged Foods;Argentina;ARS;2735,0;550870384640,0;-0,01;;112,551445;2,1996725;0,57868004;90,896;;;;-12,56;-1,26;24,46;1,63;-4,28;0,88;106,525;1,132;0,517;-4,6;;1913,0;250,25;4475,0;2050,0;-38,88;33,41;1,2
CPLE6.SA;Copel;N/D;N/D;N/D;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0
YPF.BA;YPF;N/D;N/D;N/D;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0
JBSS3.SA;JBS;N/D;N/D;N/D;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0
EMBR3.SA;Embraer;N/D;N/D;N/D;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0
SUPV.BA;Supervielle;Financial Services;Banks - Regional;Argentina;ARS;2545,0;1114025885696,0;0,671;;8,285576;1,1059932;1,528187;;;;;-4,66;-0,71;0,0;-18,16;-6,66;0,0;;;;-29,8;;231,0;103,12;4265,0;1431,0;-40,33;77,85;-3,9
CSNA3.SA;CSN;Basic Materials;Steel;Brazil;BRL;6,26;8301348352,0;1,521;;-7,215141;0,64469624;0,18530644;6,313;0,33;;;-9,66;2,56;26,14;4,93;-4,47;17,89;343,271;1,08;0,668;-5,2;;1564,0;0,0;11,32;5,67;-44,7;10,41;-8,1
RAIZ4.SA;Raízen;Utilities;Utilities - Renewable;Brazil;BRL;0,47;4861264384,0;0,414;;-2,7944586;-3,051948;0,020931475;103,278;;;;-231,28;-3,15;3,96;-10,46;-9,58;0,28;;1,691;0,987;-9,7;;;0,0;2,23;0,43;-78,92;9,3;-192,7
